epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,2318.99,2.50727,2.94174,2.13607,0.33091,0.23413,0.19969,0.07716,2.89865,2.9903,2.02443,0.0091783,0.0091783,0.0091783
85,2346.7,2.51985,2.93963,2.13887,0.3717,0.29013,0.21212,0.08689,2.82299,2.91492,1.97669,0.0091684,0.0091684,0.0091684
86,2374.15,2.50588,2.99168,2.20169,0.37401,0.33848,0.23754,0.08378,2.78293,2.77997,1.93807,0.0091585,0.0091585,0.0091585
87,2401.5,2.50935,2.92512,2.15702,0.40121,0.30808,0.23291,0.08419,2.85274,2.91059,1.96925,0.0091486,0.0091486,0.0091486
88,2429.11,2.48448,2.94613,2.11843,0.36666,0.34302,0.22716,0.08181,2.80738,2.7966,1.94211,0.0091387,0.0091387,0.0091387
89,2456.43,2.45332,2.90873,2.14589,0.36598,0.32802,0.21918,0.08657,2.81549,2.83079,1.98421,0.0091288,0.0091288,0.0091288
90,2483.99,2.44249,2.85687,2.13321,0.53918,0.2272,0.2266,0.08272,2.77902,2.88117,2.0075,0.0091189,0.0091189,0.0091189
91,2511.49,2.44628,2.83823,2.12403,0.52593,0.32548,0.21161,0.08018,2.80218,2.82542,1.99535,0.009109,0.009109,0.009109
92,2539.14,2.47402,2.89036,2.116,0.56837,0.20651,0.23551,0.0937,2.77762,2.79209,1.95273,0.0090991,0.0090991,0.0090991
93,2566.53,2.52735,2.9329,2.14113,0.37087,0.34905,0.23655,0.0905,2.77809,2.83687,1.93709,0.0090892,0.0090892,0.0090892
94,2593.91,2.4586,2.92754,2.13192,0.39561,0.29121,0.22945,0.08872,2.74414,2.77218,1.95389,0.0090793,0.0090793,0.0090793
95,2621.3,2.46492,2.89868,2.13727,0.42686,0.21842,0.23746,0.0968,2.7681,2.78096,1.94613,0.0090694,0.0090694,0.0090694
96,2648.58,2.44037,2.84543,2.1089,0.37554,0.35317,0.23872,0.09507,2.76944,2.83907,1.958,0.0090595,0.0090595,0.0090595
97,2676,2.42431,2.8973,2.08801,0.35532,0.24556,0.2194,0.08241,2.75995,2.83092,1.93382,0.0090496,0.0090496,0.0090496
98,2703.46,2.47154,2.90336,2.14152,0.4562,0.21327,0.22567,0.08737,2.7853,2.88277,1.95377,0.0090397,0.0090397,0.0090397
99,2731.06,2.42754,2.83495,2.0884,0.40303,0.24524,0.22125,0.08468,2.79708,2.77998,1.91543,0.0090298,0.0090298,0.0090298
100,2758.41,2.47464,2.88695,2.09745,0.38207,0.29247,0.22664,0.08094,2.85869,2.79134,1.96666,0.0090199,0.0090199,0.0090199
101,2785.84,2.42352,2.83462,2.11305,0.40512,0.33318,0.24046,0.09276,2.77369,2.85197,1.95804,0.00901,0.00901,0.00901
102,2813.18,2.42101,2.79821,2.08135,0.37159,0.30723,0.2331,0.08826,2.77244,2.8089,1.91971,0.0090001,0.0090001,0.0090001
103,2840.42,2.40293,2.79085,2.0776,0.39298,0.2934,0.24583,0.09395,2.73476,2.72328,1.91025,0.0089902,0.0089902,0.0089902
104,2867.86,2.42704,2.9131,2.13565,0.24533,0.30413,0.25053,0.09406,2.75044,2.77752,1.96206,0.0089803,0.0089803,0.0089803
105,2895.32,2.38816,2.82975,2.11458,0.4353,0.29417,0.26107,0.0967,2.78199,2.74476,1.94892,0.0089704,0.0089704,0.0089704
106,2922.9,2.3882,2.83954,2.0813,0.42656,0.30147,0.25555,0.09686,2.75459,2.74272,1.93971,0.0089605,0.0089605,0.0089605
107,2950.21,2.37352,2.74615,2.08525,0.40785,0.25258,0.23562,0.09081,2.73143,2.71271,1.91803,0.0089506,0.0089506,0.0089506
108,2977.58,2.43181,2.77101,2.06421,0.41012,0.3131,0.22644,0.08556,2.74064,2.88197,1.93862,0.0089407,0.0089407,0.0089407
109,3004.98,2.41703,2.80891,2.11064,0.39719,0.29946,0.22908,0.09123,2.78514,2.74992,1.93309,0.0089308,0.0089308,0.0089308
